Id,Designator,Package,Quantity,Designation,Supplier and ref
2,"C23,C2,C8,C12,C13,C24,C25,C26",C_0402,8,2.2uF,
9,"C3,C5,C7,C10,C16,C18",C_0402,6,0.1uF,
10,"C4,C6,C11",C_0402,3,10uF,
11,"C9,C17,C19",C_0402,3,1uF,
8,J1,SJ-3523-SMT-TR,1,SJ-3523-SMT-TR,
7,J2,SJ-3524-SMT-TR,1,SJ-3524-SMT-TR-PI,
14,"MIC2,MIC1",SPM0687LR5H-1,2,SPM0687LR5H-1,
12,"P3,P4,P5,P2,P1,P6",Pin_Header_Straight_1x06_Pitch2.54mm,6,CONN_01X06,
17,"R1,R8",R_0402,2,4K7,
3,"R12,R13",C_0603,2,0,
4,"R14,R17",C_0603,2,DNP,
5,"R15,R16",C_0603,2,2.2K,
16,"R2,R3,R4,R5,R6,R7,R9,R10",R_0402,8,33R,
6,U2,UQFN-40-1EP_5x5mm_Pitch0.4mm,1,TLV320AIC3206IRSBT,
13,U3,SOT-353_SC-70-5,1,74LVC1G66,
